# File: A23.globalinttech.csv
# Title: Electricity sector intermittent technology information
# Units: unitless for value factor intercept and slope
# Description: parameters used to calculate a value factor for variable techs (bounds = (0;1))
# Column types: cccccnn 
# ----------
supplysector,subsector,intermittent.technology,electric.sector.name,trial.market.name,value.factor.intercept,value.factor.slope
electricity,wind,wind,electricity,vre,0.983,-0.789
electricity,solar,PV,electricity,vre,0.983,-0.789
electricity,solar,CSP,electricity,vre,0.983,-0.789
elect_td_bld,rooftop_pv,rooftop_pv,electricity,vre,0.983,-0.789
electricity,wind,wind_offshore,electricity,vre,0.983,-0.789
